Chromosome,ID,Integer
Chromosome 1,NC_037328.1,1
Chromosome 2,NC_037329.1,2
Chromosome 3,NC_037330.1,3
Chromosome 4,NC_037331.1,4
Chromosome 5,NC_037332.1,5
Chromosome 6,NC_037333.1,6
Chromosome 7,NC_037334.1,7
Chromosome 8,NC_037335.1,8
Chromosome 9,NC_037336.1,9
Chromosome 10,NC_037337.1,10
Chromosome 11,NC_037338.1,11
Chromosome 12,NC_037339.1,12
Chromosome 13,NC_037340.1,13
Chromosome 14,NC_037341.1,14
Chromosome 15,NC_037342.1,15
Chromosome 16,NC_037343.1,16
Chromosome 17,NC_037344.1,17
Chromosome 18,NC_037345.1,18
Chromosome 19,NC_037346.1,19
Chromosome 20,NC_037347.1,20
Chromosome 21,NC_037348.1,21
Chromosome 22,NC_037349.1,22
Chromosome 23,NC_037350.1,23
Chromosome 24,NC_037351.1,24
Chromosome 25,NC_037352.1,25
Chromosome 26,NC_037353.1,26
Chromosome 27,NC_037354.1,27
Chromosome 28,NC_037355.1,28
Chromosome 29,NC_037356.1,29
Chromosome X,NC_037357.1,99
Mitochondrion MT,NC_006853.1,1000
