filename,idnum,individualID,pop
3234542.sorted.dedup.q20.bam,3234542,OG1,ogaden
3490689.sorted.dedup.q20.bam,3490689,OG3,ogaden
3491019.sorted.dedup.q20.bam,3491019,OG5,ogaden
3508266.sorted.dedup.q20.bam,3508266,OG6,ogaden
3508267.sorted.dedup.q20.bam,3508267,BOR5,boran
3524756.sorted.dedup.q20.bam,3524756,BOR7,boran
3524807.sorted.dedup.q20.bam,3524807,BOR9,boran
3524810.sorted.dedup.q20.bam,3524810,BOR1,boran
3546725.sorted.dedup.q20.bam,3546725,BOR2,boran
3546727.sorted.dedup.q20.bam,3546727,BOR3,boran
3546728.sorted.dedup.q20.bam,3546728,BOR4,boran
3546729.sorted.dedup.q20.bam,3546729,BOR6,boran
3546787.sorted.dedup.q20.bam,3546787,BOR8,boran
3592091.sorted.dedup.q20.bam,3592091,OG7,ogaden
3592092.sorted.dedup.q20.bam,3592092,OG2,ogaden
3592093.sorted.dedup.q20.bam,3592093,OG4,ogaden
3656912.sorted.dedup.q20.bam,3656912,AK3,ankole
3656914.sorted.dedup.q20.bam,3656914,AK5,ankole
3656915.sorted.dedup.q20.bam,3656915,AK7,ankole
3656917.sorted.dedup.q20.bam,3656917,AK8,ankole
3656919.sorted.dedup.q20.bam,3656919,AK9,ankole
3656920.sorted.dedup.q20.bam,3656920,AK1,ankole
3656921.sorted.dedup.q20.bam,3656921,AK2,ankole
3656922.sorted.dedup.q20.bam,3656922,AK4,ankole
3656924.sorted.dedup.q20.bam,3656924,AK6,ankole
3693229.sorted.dedup.q20.bam,3693229,KEN6,kenana
3693373.sorted.dedup.q20.bam,3693373,ND6,ndama
3693375.sorted.dedup.q20.bam,3693375,ND8,ndama
3693376.sorted.dedup.q20.bam,3693376,ND1,ndama
3693378.sorted.dedup.q20.bam,3693378,ND2,ndama
3693379.sorted.dedup.q20.bam,3693379,ND3,ndama
3693419.sorted.dedup.q20.bam,3693419,ND4,ndama
3693420.sorted.dedup.q20.bam,3693420,ND5,ndama
3694478.sorted.dedup.q20.bam,3694478,ND7,ndama
3694651.sorted.dedup.q20.bam,3694651,AK10,ankole
3694652.sorted.dedup.q20.bam,3694652,KEN1,kenana
3694653.sorted.dedup.q20.bam,3694653,KEN3,kenana
3694654.sorted.dedup.q20.bam,3694654,KEN4,kenana
3694655.sorted.dedup.q20.bam,3694655,KEN5,kenana
3694656.sorted.dedup.q20.bam,3694656,KEN7,kenana
3694657.sorted.dedup.q20.bam,3694657,KEN8,kenana
3694658.sorted.dedup.q20.bam,3694658,KEN9,kenana
3694659.sorted.dedup.q20.bam,3694659,KEN2,kenana
SRR6936540.sorted.dedup.q20.bam,SRR6936540,IND1,indicine
"././water_buffalo_2.sorted.dedup.q20.bam
","water_buffalo_2

",BUFF1,water_buffalo
REF,REF,taurus,taurus
